Hours,Percent
2,39.2
2.4,44.2
1.5,27.2
3.5,51
3.5,48.8
3.5,46
3.5,46.4
3.7,51
3.7,53.4
2.4,42.4
2.4,45
3.5,47.8
5.9,71.8
5.9,71.8
4.7,67.6
4.7,70.8
4.7,67.6
4.7,70.8
5.9,71.8
2,40.4
2,46
2,42.8
2,46
2,46
2,42.8
2,47
3,50.2
3,44.8
3,51.6
3,44.8
3,51.6
4,52
3,45.4
3,51.6
4,57.6
6.3,72.2
3,46
2,48.4
2,47.8
3,51.6
2,42.4
3,49.2
3,60.8
3,58.8
4.2,67.2
4.2,81.4
5.2,70.8
5.2,81.8
4.2,67.2
4.2,81.4
5.2,70.8
5.2,81.8
4.2,61.2
4.2,61.6
4,58
3,52.4
3,57
3,52.4
3,57
3,53.4
4,56.2
4,56.2
4,59.4
3,58.4
2,41.8
2,41.8
2,47.4
2,47.4
4,59.4
6,71.2
4,64
6,76
4,64.4
6,76
6,76
6.8,87.4
2,38.6
2,40
2,40.4
2,36.2
2,36.2
2,38.6
2,40
2,41.8
2,41.8
2,41.8
3,44.2
3,46
3,45.6
3,47.4
3,46.4
2,38.6
2,40
2,41.8
3,44.2
3,46
3,45.6
3,47.4
2,40.4
2,41.8
3,42.6
3,46.4
3,49.2
4.4,56.2
4.4,58.4
3,46.4
4.4,58.4
4.4,56.2
4.4,58.4
3,49.2
4.4,58.4
4.4,58.4
6,71.2
3,38.2
3,42.8
3,42.4
4.4,58.4
4.4,58.4
4.4,67.6
4.4,63.4
4.4,67.6
4.4,63.4
4.4,67.6
4.4,63.4
4.4,67.6
4.4,63.4
2,41.8
3,52
2,46
3,50.6
3,51
4.4,64
4.4,74
3,54.8
4.4,64.8
2,41.8
2,40
3,55.6
3,50.6
3,55.6
3.6,56.6
3.6,58
1.4,39.2
1.4,42.4
3.6,52.8
3.6,50
3.6,52.8
3.6,52.8
2.4,37.8
2,45.6
2,45
2,49.2
2.4,37.8
2,45.6
2,45
2.4,43.6
2,44.2
2,47
2.5,41.4
3.6,50.2
2,46.4
3.6,52
3.6,51.6
3.6,52.4
2,46.4
3.6,49.6
2,49.6
3.6,52
3.6,58.8
3,50.6
3.6,52
3,51
3.6,52.4
6.2,76.4
6.2,68
6.2,76.4
6.2,68
6.2,76.4
6.2,68
6.2,67.6
6.2,64.4
6.2,75.4
6.2,70.8
3.6,56.6
3.6,58.8
3.6,52.4
3.6,54.2
3.6,58
3.6,51.6
3.6,53.8
3.6,48.4
6.2,58.8
6.2,58.4
6.2,76.4
6.2,68
6.2,55.2
6.2,51.6
1.4,35.8
1.4,35.8
1.8,40.4
1.8,37.8
2,38.4
1.4,35.4
1.4,32.6
2.4,41.8
3.6,55.2
3.6,51.8
2.4,46
3.6,58
3.6,54.4
4.3,69.4
5.3,73.2
5.3,66.8
5.3,76
5.3,68.8
5.3,76
5.3,68.8
5.3,76
5.3,72.4
5.3,76
5.3,68.8
5.3,76
5.3,72.4
4.8,82.8
6,86.4
6,82.2
4.8,83.8
6,87
6,82.6
2.5,44.2
3.6,48.8
3.6,45.8
2.4,40
2,45.6
2.5,36.8
2.4,48.8
2.4,47
4.3,54.2
4.3,53.8
5.3,58.4
5.3,54
6.2,64.8
4.3,58
4.3,57
5.3,59.8
5.3,55.4
6.2,65.8
1.4,36.8
1.4,34.6
1.8,38.2
1.8,36.4
1.4,36.8
1.4,34.4
1.8,38.2
1.8,36.4
1.4,38.2
1.4,36.4
1.4,38.2
1.4,36.4
1.2,31.8
1.2,31.8
5.3,63.4
5.3,58.8
5.3,63.4
5.3,58.8
5.3,63.4
5.3,58.8
5.3,63.4
5.3,58.8
3.6,56.6
3.6,58
1.4,38.6
1.4,37.2
1.4,41.4
3.6,47.4
2.4,46.4
2.4,49.2
3.6,48.4
3.6,46
2.4,45
2.4,46
3.6,48.4
3.6,46
5.7,58.8
3.6,50.2
5.7,61.6
3.6,50.2
3.6,47.4
3.6,47.4
3.6,44.4
6.4,63.4
3.6,55.2
3.6,53.8
2.4,45
2.4,46
3.6,48.4
3.6,46
3.6,51.6
5.7,60.2
5.7,58.8
6.4,64
6.4,63.4
3.6,51.6
3.6,47.4
5.7,58.8
3.6,50.2
5.7,61.6
3.6,50.2
3.6,47.4
3.6,51.6
3.6,50.2
3.6,47
3.6,44.4
6.4,63.4
2,37.2
2.4,39.6
2.4,40.4
2,39.6
2,39
2.4,42.4
2.4,40.4
1.4,33.6
1.4,33.6
5.7,66.2
3.6,55.6
3.6,50
3.6,54.2
3.6,52.8
2.4,51
3.6,57
3.6,55.2
3.6,51.8
1.4,35.8
1.4,35.8
1.4,36.4
1.4,33.2
1.4,35.8
1.4,36.4
1.4,31.2
1.4,35.8
1.4,40
1.4,38.6
2,27.6
4.6,74.6
4.6,70
5.4,79.2
5.4,72
4.6,77.2
4.6,73.6
6.8,97.6
5.4,84.2
5.4,76.4
2,45
3.5,49.6
3.5,52.8
3.7,56.2
1.6,41.8
2,44.2
2.5,43.2
1.6,42.8
2,46
5.4,73.6
5.4,69.2
2,47
3.5,59.8
3.5,54.8
3.5,50.8
3.5,57.6
3.5,53.4
3.5,58.4
3.5,58.8
6.2,73.2
3.5,63.4
3.5,61.6
6.2,80.4
3.7,56.6
3.7,52.8
3.7,56.6
3.7,52.8
5,67.2
5,63
5,67.2
5,63
3.7,61.6
3.7,57.6
3.7,61.6
3.7,57.6
5,68.6
5,64
5,68
5,63.6
6.2,82.8
1.6,35
1.6,35
1,30.4
1.6,32.2
1.6,36.8
3.5,52.8
3.5,55.6
3.5,58.8
2,41
2,35.4
2,33
2,35.8
2,33
2,36.8
2,34
2,33.2
2,32.4
1.5,39.2
1.6,37.2
2,41.4
2.5,41
1.5,37.2
2,43.2
2,25.2
3.7,47
3.7,48.8
5,52.8
5,58.4
5.8,60.8
3.7,48.8
2,41.8
3.5,54.2
3.5,47.4
3.5,45.8
3.5,51.6
3.5,50.2
1.6,43.6
2.5,45.6
1.6,46.4
2.5,47.8
3.6,56.6
3.6,59.4
4.3,69.4
5.3,73.2
5.3,66.8
5.3,76
5.3,68.8
5.3,76
5.3,68.8
5.3,76
5.3,72.4
5.3,76
5.3,68.8
5.3,76
5.3,72.4
4.8,82.8
6,86.4
6,82.2
4.8,83.8
6,87
6,82.6
4.3,54.2
4.3,53.8
5.3,58.4
5.3,54
6.2,64.8
4.3,58
4.3,57
5.3,59.8
5.3,55.4
6.2,65.8
2.4,41.8
3.6,55.2
3.6,51.8
2.4,46
3.6,58
3.6,54.4
5.3,63.4
5.3,58.8
5.3,63.4
5.3,58.8
6.2,67.6
6.2,64.4
6.2,75.4
6.2,70.8
5.3,63.4
5.3,58.8
5.3,63.4
5.3,58.8
2.4,36.4
2.4,37.2
2.4,40
3.5,41.8
3.5,44.2
3.5,50.2
2,22
1.8,32.2
1.8,33.2
1.8,35
3.5,49.2
2.4,41.8
2.4,43.2
1.5,29
1.5,31.8
1.5,34.4
1.5,35.4
3.5,48.8
3.5,53
3.5,55.2
3.5,61.6
1.6,35.4
1.6,35.4
2,39.6
2,39.2
5,60.8
3.8,51
3.3,51.6
3.3,53.4
2.4,47.4
2,52.8
2.4,51
2,44.2
2.4,39.2
2.4,28.6
2.4,29
2,42.8
2,46.4
2.4,46
2,48.4
2.4,48.8
1.6,35.4
1.6,36.8
1.6,40.4
1.6,39.2
3.7,47
3.7,49.6
3.5,34.4
3.5,37.8
3.7,53
3.7,53.8
3.7,56.6
3.7,51
3.7,53.4
3.7,50.6
5.6,56.6
3.7,53.4
5.6,58.8
3.5,35
3.7,54.2
3.5,48.8
3.5,50.6
2.5,39.2
3.7,58.8
5,66.8
5.6,69
3,47.4
3,48.8
5,58.8
2,48.4
3,56.2
5,61.2
5,58
5,61.2
3,57
5,61.2
5,56
3,57
5,61.2
5,56
5,61.2
5,61.2
5,60.2
5,58
5,63
5,62
5,63
5,62
2.4,43.6
3.2,48.4
2.4,46
3.2,49.6
2.4,46.4
3.2,50.6
2.4,50.2
3.2,53.4
2,45
2,41.8
2.4,45
2.4,43.2
2.4,47
